Player▲,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jamal Shead,22,TOR,PG,75,11,1467,9.9,0.499,0.442,0.137,2.1,6.4,4.2,29.8,1.9,0.7,18,18.6,-0.2,1.1,0.8,0.027,-3.2,-0.9,-4.1,-0.8,2.7,6.7,0.405,1,3,0.323,1.8,3.7,0.47,0.476,0.7,0.9,0.768,0.4,1.1,1.5,4.2,0.8,0.1,1.6,2.1,7.1
Ben Sheppard,23,IND,SG,63,9,1228,9.2,0.555,0.693,0.094,4,12,8,8.6,1.5,1,6.9,11.3,1,1,2.1,0.081,-2.2,0.2,-2,0,1.9,4.6,0.418,1.1,3.2,0.342,0.8,1.4,0.591,0.537,0.4,0.4,0.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,2,5.3
Reed Sheppard,20,HOU,PG,52,3,654,9.7,0.465,0.594,0.067,2.6,10.3,6.4,15.2,2.6,2.3,13.1,17.8,-0.3,1,0.8,0.055,-3,1.3,-1.7,0.1,1.6,4.6,0.351,0.9,2.7,0.338,0.7,1.9,0.371,0.452,0.3,0.3,0.813,0.3,1.2,1.5,1.4,0.7,0.3,0.7,1,4.4
Pascal Siakam,30,IND,PF,78,78,2548,19.2,0.599,0.274,0.261,5.9,17.6,11.8,15.7,1.3,1.5,7.6,24.2,5,2.5,7.5,0.142,2.2,-0.5,1.7,2.4,7.9,15.2,0.519,1.6,4.2,0.389,6.2,11,0.568,0.572,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2
Ben Simmons,28,2TM,PG,51,24,1120,12.4,0.539,0,0.148,4.6,20.3,12.2,37,1.7,2,30,13.2,0.5,1.3,1.8,0.078,-2.3,1.8,-0.5,0.4,2.3,4.4,0.52,0,0,,2.3,4.4,0.52,0.52,0.5,0.6,0.727,0.9,3.8,4.7,5.6,0.7,0.5,2,2.1,5
Anfernee Simons,25,POR,SG,70,70,2292,14.9,0.557,0.527,0.172,1.2,8,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,0.521,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2,1.7,19.3
KJ Simpson,22,CHO,PG,36,15,842,8.3,0.437,0.432,0.166,4.8,9,6.9,19.8,2,0.7,14.8,19.1,-1,0.5,-0.4,-0.025,-4.5,-0.9,-5.4,-0.7,2.9,8.4,0.346,0.9,3.6,0.254,2,4.8,0.415,0.4,1.1,1.4,0.82,1.1,1.9,3,3.1,0.9,0.2,1.6,1.6,7.8
Jaylen Sims,26,CHO,SG,6,0,112,9.8,0.607,0.536,0.536,2.8,2.9,2.9,15.6,1.3,0.9,18.8,16.2,0.1,0,0.1,0.048,-2.8,-1.3,-4.1,-0.1,2,4.7,0.429,1,2.5,0.4,1,2.2,0.462,0.536,2,2.5,0.8,0.5,0.5,1,2,0.5,0.2,1.3,1.7,7
Jericho Sims,26,2TM,C,53,5,632,10,0.639,0,0.183,12.9,22,17.6,6.4,0.8,2.8,30.1,7.6,0.5,0.7,1.3,0.096,-3.1,0.1,-3,-0.2,0.8,1.3,0.634,0,0,,0.8,1.3,0.634,0.634,0.2,0.2,0.615,1.3,2.4,3.7,0.6,0.2,0.4,0.6,1.2,1.8
Marcus Smart,30,2TM,PG,34,7,680,12.4,0.529,0.549,0.276,2.8,8.3,5.6,21.7,2.7,1.2,15.8,20.6,0.1,0.6,0.7,0.051,-1.6,0.1,-1.5,0.1,3,7.6,0.393,1.4,4.1,0.348,1.5,3.4,0.448,0.488,1.6,2.1,0.761,0.5,1.6,2.1,3.2,1.1,0.3,1.6,1.6,9
